#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Protein product	Length	Protein name
LG03	NC_032011.1	24468810	24469478	+	109343917	LOC109343917	XP_019437987.1	222	PREDICTED: transcription factor MYB44-like
LG03	NC_032011.1	24482917	24483585	+	109343919	LOC109343919	XP_019437988.1	222	PREDICTED: transcription factor MYB44-like
LG03	NC_032011.1	27129992	27131638	-	109344277	LOC109344277	XP_019438529.1	333	PREDICTED: transcription factor MYB39-like
LG03	NC_032011.1	27235023	27235814	+	109344282	LOC109344282	XP_019438536.1	263	PREDICTED: transcription factor MYB44-like
LG03	NC_032011.1	27976311	27977796	-	109342644	LOC109342644	XP_019436133.1	346	PREDICTED: transcription factor MYB36-like
LG04	NC_032012.1	8553111	8554875	+	109345539	LOC109345539	XP_019440146.1	329	PREDICTED: transcription factor MYB108-like
LG04	NC_032012.1	11674757	11676524	+	109344630	LOC109344630	XP_019438933.1	402	PREDICTED: transcription factor MYB28-like
LG04	NC_032012.1	11754767	11756455	-	109345865	LOC109345865	XP_019440657.1	464	PREDICTED: transcription factor MYB35-like isoform X2
LG04	NC_032012.1	11754787	11756455	-	109345865	LOC109345865	XP_019440659.1	455	PREDICTED: transcription factor MYB86-like isoform X3
LG04	NC_032012.1	11754787	11756455	-	109345865	LOC109345865	XP_019440656.1	471	PREDICTED: transcription factor MYB86-like isoform X1
LG04	NC_032012.1	13575208	13578798	+	109345913	LOC109345913	XP_019440734.1	523	PREDICTED: transcription factor MYB86-like
LG04	NC_032012.1	21241905	21244228	-	109344710	LOC109344710	XP_019439007.1	338	PREDICTED: transcription factor MYB98-like
LG04	NC_032012.1	22180026	22181757	+	109346244	LOC109346244	XP_019441242.1	418	PREDICTED: transcription factor MYB86-like
LG04	NC_032012.1	22293884	22295425	-	109346251	LOC109346251	XP_019441254.1	432	PREDICTED: transcription factor MYB86-like
LG04	NC_032012.1	22808588	22811013	+	109344730	LOC109344730	XP_019439028.1	415	PREDICTED: transcription factor MYB12-like
LG04	NC_032012.1	27068358	27069543	-	109344913	LOC109344913	XP_019439181.1	285	PREDICTED: transcription factor MYB30-like
LG05	NC_032013.1	1257422	1259942	+	109347349	LOC109347349	XP_019442682.1	360	PREDICTED: transcription factor MYB34-like isoform X5
LG06	NC_032014.1	319684	320782	-	109350368	LOC109350368	XP_019447157.1	281	PREDICTED: transcription factor MYB39-like
LG06	NC_032014.1	727060	728022	-	109348619	LOC109348619	XP_019444671.1	320	PREDICTED: transcription factor MYB44-like
LG06	NC_032014.1	4083349	4085388	+	109349662	LOC109349662	XP_019446104.1	341	PREDICTED: transcription factor MYB39-like
LG06	NC_032014.1	5544942	5546057	+	109349239	LOC109349239	XP_019445518.1	312	PREDICTED: transcription factor MYB1R1-like
LG06	NC_032014.1	8402008	8403801	+	109349553	LOC109349553	XP_019445937.1	462	PREDICTED: transcription factor MYB108-like
LG06	NC_032014.1	9090959	9095647	+	109349641	LOC109349641	XP_019446068.1	342	PREDICTED: transcription factor MYB1R1
LG06	NC_032014.1	10348113	10349362	-	109349763	LOC109349763	XP_019446256.1	303	PREDICTED: transcription factor MYB24-like isoform X2
LG06	NC_032014.1	10348113	10349362	-	109349763	LOC109349763	XP_019446255.1	307	PREDICTED: transcription factor MYB24-like isoform X1
LG06	NC_032014.1	11718929	11720298	+	109349850	LOC109349850	XP_019446415.1	255	PREDICTED: transcription factor MYB36-like
LG06	NC_032014.1	19903237	19904079	+	109350131	LOC109350131	XP_019446822.1	280	PREDICTED: transcription factor MYB44-like
LG06	NC_032014.1	23461995	23464347	+	109350541	LOC109350541	XP_019447317.1	476	PREDICTED: transcription factor MYB108-like
LG06	NC_032014.1	30601631	30602869	-	109351059	LOC109351059	XP_019447931.1	243	PREDICTED: transcription factor MYB48-like
LG07	NC_032015.1	1635495	1636679	+	109351609	LOC109351609	XP_019448660.1	244	PREDICTED: transcription factor MYB59-like isoform X1
LG07	NC_032015.1	1635495	1636679	+	109351609	LOC109351609	XP_019448662.1	220	PREDICTED: transcription factor MYB59-like isoform X2
LG07	NC_032015.1	3287692	3289042	+	109352786	LOC109352786	XP_019450526.1	245	PREDICTED: transcription factor MYB34-like
LG07	NC_032015.1	3331389	3332592	-	109353028	LOC109353028	XP_019450765.1	320	PREDICTED: transcription factor MYB80-like
LG07	NC_032015.1	7945737	7947622	+	109352887	LOC109352887	XP_019450614.1	344	PREDICTED: transcription factor MYB86-like
LG07	NC_032015.1	8171797	8173835	+	109352729	LOC109352729	XP_019450458.1	318	PREDICTED: transcription factor MYB46-like
LG08	NC_032016.1	3246908	3249550	-	109354158	LOC109354158	XP_019452051.1	399	PREDICTED: transcription factor MYB98-like
LG08	NC_032016.1	5864420	5866048	+	109353478	LOC109353478	XP_019451317.1	417	PREDICTED: transcription factor MYB86-like
LG08	NC_032016.1	6054192	6055318	+	109354868	LOC109354868	XP_019453202.1	272	PREDICTED: transcription factor MYB108-like
LG08	NC_032016.1	10775065	10777481	+	109354112	LOC109354112	XP_019452013.1	228	PREDICTED: transcription factor MYB90-like
LG08	NC_032016.1	10804970	10807386	+	109354717	LOC109354717	XP_019452948.1	242	PREDICTED: transcription factor MYB90-like
LG08	NC_032016.1	24152450	24154907	-	109353769	LOC109353769	XP_019451680.1	296	PREDICTED: transcription factor MYB46-like
LG09	NC_032017.1	3835426	3837801	+	109356410	LOC109356410	XP_019455282.1	381	PREDICTED: transcription factor MYB76-like
LG09	NC_032017.1	20584949	20585572	+	109356341	LOC109356341	XP_019455208.1	208	PREDICTED: transcription factor MYB44-like, partial
LG10	NC_032018.1	1926643	1928190	+	109357671	LOC109357671	XP_019457209.1	334	PREDICTED: transcription factor MYB26-like
LG10	NC_032018.1	2301324	2303110	+	109357862	LOC109357862	XP_019457464.1	320	PREDICTED: transcription factor MYB46-like
LG10	NC_032018.1	5998983	6000725	+	109357690	LOC109357690	XP_019457243.1	296	PREDICTED: transcription factor MYB36-like
LG10	NC_032018.1	10498028	10500264	-	109357881	LOC109357881	XP_019457482.1	358	PREDICTED: transcription factor MYB76-like
LG11	NC_032019.1	2863714	2867276	+	109359637	LOC109359637	XP_019459881.1	194	PREDICTED: transcription factor MYB98-like
LG11	NC_032019.1	9460706	9463648	-	109359388	LOC109359388	XP_019459578.1	287	PREDICTED: transcription factor MYB3
LG11	NC_032019.1	33637111	33638458	-	109359527	LOC109359527	XP_019459771.1	215	PREDICTED: transcription factor MYB113-like
LG12	NC_032020.1	15270523	15271947	-	109361635	LOC109361635	XP_019462692.1	386	PREDICTED: transcription factor MYB26-like isoform X1
LG12	NC_032020.1	15419093	15420997	+	109361926	LOC109361926	XP_019462997.1	460	PREDICTED: transcription factor MYB98-like
LG12	NC_032020.1	15679645	15681421	+	109362752	LOC109362752	XP_019464312.1	289	PREDICTED: transcription factor MYB1R1-like
LG12	NC_032020.1	15889797	15892976	-	109361620	LOC109361620	XP_019462676.1	325	PREDICTED: transcription factor MYB12-like
LG12	NC_032020.1	16077504	16079248	-	109362862	LOC109362862	XP_019464462.1	331	PREDICTED: transcription factor MYB108-like
LG12	NC_032020.1	17189799	17191201	+	109363011	LOC109363011	XP_019464707.1	358	PREDICTED: transcription factor MYB36
LG13	NC_032021.1	1975559	1997322	+	109325752	LOC109325752	XP_019413842.1	297	PREDICTED: transcription factor MYB46-like isoform X2
LG13	NC_032021.1	1994085	1997322	+	109325752	LOC109325752	XP_019413841.1	305	PREDICTED: transcription factor MYB46-like isoform X1
LG13	NC_032021.1	6937043	6939102	-	109325089	LOC109325089	XP_019412780.1	319	PREDICTED: transcription factor MYB46-like
LG13	NC_032021.1	16624188	16625729	-	109363419	LOC109363419	XP_019465221.1	234	PREDICTED: transcription factor MYB114-like isoform X1
LG13	NC_032021.1	16624220	16625729	-	109363419	LOC109363419	XP_019465222.1	213	PREDICTED: transcription factor MYB114-like isoform X2
LG14	NC_032022.1	13509408	13510994	+	109326211	LOC109326211	XP_019414454.1	344	PREDICTED: transcription factor MYB3-like
LG15	NC_032023.1	3979127	3981183	+	109327649	LOC109327649	XP_019416364.1	338	PREDICTED: transcription factor MYB36-like
LG15	NC_032023.1	9035562	9037715	-	109327542	LOC109327542	XP_019416268.1	394	PREDICTED: transcription factor MYB34
LG15	NC_032023.1	16735347	16737033	-	109327851	LOC109327851	XP_019416571.1	325	PREDICTED: transcription factor MYB39-like
LG15	NC_032023.1	17770136	17771606	+	109327568	LOC109327568	XP_019416296.1	338	PREDICTED: transcription factor MYB39-like
LG15	NC_032023.1	20298099	20298791	+	109327990	LOC109327990	XP_019416751.1	230	PREDICTED: transcription factor MYB44-like
LG16	NC_032024.1	1815141	1816851	-	109329061	LOC109329061	XP_019418268.1	311	PREDICTED: transcription factor MYB108-like
LG16	NC_032024.1	1815141	1816851	-	109329061	LOC109329061	XP_019418269.1	311	PREDICTED: transcription factor MYB108-like
LG16	NC_032024.1	5575359	5578028	-	109329523	LOC109329523	XP_019418753.1	345	PREDICTED: transcription factor MYB35-like
LG16	NC_032024.1	10461878	10464881	+	109329302	LOC109329302	XP_019418525.1	468	PREDICTED: transcription factor MYB108-like
LG17	NC_032025.1	289259	290341	-	109331034	LOC109331034	XP_019420862.1	329	PREDICTED: transcription factor MYB39-like
LG17	NC_032025.1	2383372	2384310	+	109331789	LOC109331789	XP_019422047.1	312	PREDICTED: transcription factor MYB44-like isoform X1
LG17	NC_032025.1	2383372	2384310	+	109331789	LOC109331789	XP_019422048.1	300	PREDICTED: transcription factor MYB44-like isoform X2
LG17	NC_032025.1	5349712	5351050	+	109331928	LOC109331928	XP_019422273.1	312	PREDICTED: transcription factor MYB1R1-like
LG17	NC_032025.1	9461860	9464688	+	109330663	LOC109330663	XP_019420469.1	403	PREDICTED: transcription factor MYB122-like isoform X2
LG17	NC_032025.1	13238426	13241415	-	109331990	LOC109331990	XP_019422370.1	331	PREDICTED: transcription factor MYB1R1-like
LG17	NC_032025.1	19240470	19242966	+	109331095	LOC109331095	XP_019420921.1	236	PREDICTED: transcription factor MYB1R1-like
LG18	NC_032026.1	1135222	1137622	+	109333360	LOC109333360	XP_019424366.1	256	PREDICTED: transcription factor MYB1R1-like
LG18	NC_032026.1	7479193	7483267	+	109332374	LOC109332374	XP_019422882.1	333	PREDICTED: transcription factor MYB1R1-like
LG18	NC_032026.1	7485180	7486988	+	109332407	LOC109332407	XP_019422926.1	268	PREDICTED: transcription factor MYB1R1-like
LG18	NC_032026.1	13144758	13146434	-	109332313	LOC109332313	XP_019422802.1	342	PREDICTED: transcription factor MYB39-like
LG18	NC_032026.1	16150770	16152515	-	109332674	LOC109332674	XP_019423233.1	314	PREDICTED: transcription factor MYB26-like
LG19	NC_032027.1	228140	230294	-	109333871	LOC109333871	XP_019424998.1	242	PREDICTED: transcription factor MYB46-like
LG19	NC_032027.1	232054	233677	-	109333852	LOC109333852	XP_019424980.1	304	PREDICTED: transcription factor MYB46-like
LG19	NC_032027.1	9828135	9829772	-	109334295	LOC109334295	XP_019425532.1	325	PREDICTED: transcription factor MYB80-like
LG19	NC_032027.1	17200614	17203770	+	109334331	LOC109334331	XP_019425585.1	353	PREDICTED: transcription factor MYB34-like
LG20	NC_032028.1	4189999	4190997	-	109335635	LOC109335635	XP_019427336.1	268	PREDICTED: transcription factor MYB108-like
LG20	NC_032028.1	4565664	4567176	-	109335033	LOC109335033	XP_019426617.1	402	PREDICTED: transcription factor MYB86-like isoform X2
LG20	NC_032028.1	4565664	4567176	-	109335033	LOC109335033	XP_019426615.1	412	PREDICTED: transcription factor MYB86-like isoform X1
LG20	NC_032028.1	18941739	18943606	-	109335704	LOC109335704	XP_019427402.1	198	PREDICTED: transcription factor MYB114-like
LG20	NC_032028.1	19096749	19098155	-	109335533	LOC109335533	XP_019427213.1	196	PREDICTED: transcription factor MYB114-like
LG20	NC_032028.1	19147143	19153892	-	109335534	LOC109335534	XP_019427214.1	281	PREDICTED: transcription factor MYB24-like
LG20	NC_032028.1	19217215	19219956	-	109335100	LOC109335100	XP_019426716.1	223	PREDICTED: transcription factor MYB90-like
LG20	NC_032028.1	19287746	19290976	-	109335099	LOC109335099	XP_019426715.1	238	PREDICTED: transcription factor MYB90-like
